"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2000","DE","Germany",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2000","EL","Greece",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2000","NL","Netherlands",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2000","NO","Norway",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","AT","Austria",4.761904760,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","BE","Belgium",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","BG","Bulgaria",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","CZ","Czechia",1.612903220,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","DE","Germany",1.428571420,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","EE","Estonia",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","EL","Greece",15.053763440,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","ES","Spain",1.587301580,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","FI","Finland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","HR","Croatia",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","HU","Hungary",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","IS","Iceland",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","IT","Italy",15.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","LU","Luxembourg",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","MT","Malta",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2001","NL","Netherlands",1.923076920,""
