"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","AT","Austria",10.389610380,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","BG","Bulgaria",37.500000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","CY","Cyprus",-,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","CZ","Czechia",31.128404660,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","DE","Germany",24.786324780,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","EE","Estonia",37.837837830,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","EL","Greece",38.681948420,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","ES","Spain",17.142857140,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","FI","Finland",15.306122440,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","FR","France",14.227642270,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","HR","Croatia",23.611111110,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","HU","Hungary",18.346774190,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","IE","Ireland",11.111111110,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","IS","Iceland",-,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","LU","Luxembourg",-,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","MT","Malta",17.777777770,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","NL","Netherlands",4.812834220,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","NO","Norway",3.448275860,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","PL","Poland",26.923076920,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","RO","Romania",60.869565210,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","SE","Sweden",17.543859640,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","SI","Slovenia",13.157894730,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2005","UK","United Kingdom",9.217877090,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","AT","Austria",14.861460950,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","BG","Bulgaria",14.285714280,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","CY","Cyprus",11.111111110,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","CZ","Czechia",32.719836400,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","DE","Germany",16.666666660,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","EE","Estonia",28.571428570,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","EL","Greece",47.607361960,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","R - resistant isolates, percentage  ","%","2006","ES","Spain",11.568123390,""
