Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.
Antibiotic filter: Imipenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Acinetobacter spp.","Imipenem",0,46.93877551,71.428571429,78.947368421,89.312977099
2019,"BLOOD","Acinetobacter spp.","Imipenem",0,32.730588848,68.017612524,81.426803395,96.069868996
2020,"BLOOD","Acinetobacter spp.","Imipenem",0,49.669946049,71.889400922,85.058966513,97.701149425
2021,"BLOOD","Acinetobacter spp.","Imipenem",0,50.845170455,68.085106383,87.496230318,99.262899263
2022,"BLOOD","Acinetobacter spp.","Imipenem",0,40.840336134,69.565217391,86.283803562,100
2023,"BLOOD","Acinetobacter spp.","Imipenem",0,38.230630519,70.781542653,82.043931497,100


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Imipenem",7385,372,281,75.537634409
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",633,81,58,71.604938272
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",841,131,117,89.312977099
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Imipenem",314,19,9,47.368421053
"GEO","Georgia","European Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",216,28,24,85.714285714
"IND","India","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",14459,1605,944,58.816199377
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",1381,17,4,23.529411765
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",1826,354,170,48.02259887
"IRQ","Iraq","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",43,21,18,85.714285714
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",126859,1016,10,0.984251969
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",345,29,23,79.310344828
"XKX","Kosovo","European Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",164,60,52,86.666666667
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",1202,73,24,32.876712329
"MKD","North Macedonia","European Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",176,22,17,77.272727273
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",631,38,21,55.263157895
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",7410,176,59,33.522727273
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",5595,785,270,34.394904459
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",3519,247,192,77.732793522
"RUS","Russian Federation","European Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",427,76,60,78.947368421
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",2420,302,261,86.42384106
"ZAF","South Africa","African Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",20691,2980,2311,77.55033557
"CHE","Switzerland","European Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",19539,125,4,3.2
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",2629,337,174,51.632047478
"TUN","Tunisia","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",1660,210,173,82.380952381
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Imipenem",2452,98,46,46.93877551
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Imipenem",5783,292,202,69.178082192
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",780,90,60,66.666666667
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",1020,229,220,96.069868996
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Imipenem",606,47,34,72.340425532
"GEO","Georgia","European Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",433,83,62,74.698795181
"IND","India","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",24223,3518,2199,62.50710631
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",2314,53,37,69.811320755
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",2277,292,243,83.219178082
"IRQ","Iraq","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",82,25,16,64
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",136246,1141,10,0.876424189
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",627,76,63,82.894736842
"XKX","Kosovo","European Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",151,45,42,93.333333333
"NPL","Nepal","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",2380,339,89,26.253687316
"MKD","North Macedonia","European Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",276,37,33,89.189189189
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",1007,93,54,58.064516129
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",8980,350,234,66.857142857
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",6468,1010,338,33.465346535
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",3646,225,172,76.444444444
"RUS","Russian Federation","European Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",1173,149,117,78.523489933
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",2528,303,246,81.188118812
"ZAF","South Africa","African Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",20489,2330,1843,79.098712446
"CHE","Switzerland","European Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",10424,57,1,1.754385965
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",5463,620,305,49.193548387
"TUN","Tunisia","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",932,112,92,82.142857143
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Imipenem",2464,95,40,42.105263158
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Imipenem",7376,640,528,82.5
"BHR","Bahrain","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",568,96,88,91.666666667
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",954,348,340,97.701149425
"BRA","Brazil","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Imipenem",584,63,48,76.19047619
"GEO","Georgia","European Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",741,171,115,67.251461988
"IND","India","South-East Asia Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",12371,1546,1207,78.072445019
"IDN","Indonesia","South-East Asia Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",1676,58,40,68.965517241
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",1854,231,187,80.952380952
"IRQ","Iraq","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",497,99,60,60.606060606
"JPN","Japan","Western Pacific Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",142185,1416,11,0.776836158
"JOR","Jordan","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",446,59,37,62.711864407
"XKX","Kosovo","European Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",161,59,50,84.745762712
"NPL","Nepal","South-East Asia Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",1515,137,67,48.905109489
"MKD","North Macedonia","European Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",293,39,37,94.871794872
"OMN","Oman","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",876,31,30,96.774193548
"PAK","Pakistan","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",5623,340,204,60
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",4276,854,321,37.587822014
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",4095,217,156,71.889400922
"RUS","Russian Federation","European Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",1305,203,188,92.610837438
"SAU","Saudi Arabia","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",2458,476,417,87.605042017
"ZAF","South Africa","African Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",23840,4452,3277,73.607367475
"CHE","Switzerland","European Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",10256,91,9,9.89010989
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",6159,783,425,54.278416347
"TUN","Tunisia","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Imipenem",917,113,96,84.955752212
