Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.
Antibiotic filter: Meropenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Acinetobacter spp.","Meropenem",0,46.564885496,70.212765957,78.137651822,90.909090909
2019,"BLOOD","Acinetobacter spp.","Meropenem",0,22.471910112,66.666666667,79.583875163,96.506550218
2020,"BLOOD","Acinetobacter spp.","Meropenem",0,27.434710078,69.84496124,85.487288136,97.687861272
2021,"BLOOD","Acinetobacter spp.","Meropenem",0,34.181300427,65.767386091,84.351290868,99.261083744
2022,"BLOOD","Acinetobacter spp.","Meropenem",0.968054211,28.772770853,62.999721927,85.697249784,100
2023,"BLOOD","Acinetobacter spp.","Meropenem",0,21.276595745,68.815471394,77.227722772,98.507462687


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Meropenem",7385,375,283,75.466666667
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",633,81,60,74.074074074
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",841,132,120,90.909090909
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Meropenem",314,24,13,54.166666667
"GEO","Georgia","European Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",216,24,20,83.333333333
"IND","India","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",14459,1065,678,63.661971831
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",1381,131,61,46.564885496
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",1826,308,255,82.792207792
"IRQ","Iraq","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",43,20,17,85
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",126859,1770,15,0.847457627
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",345,46,39,84.782608696
"XKX","Kosovo","European Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",164,60,51,85
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",1202,74,23,31.081081081
"MKD","North Macedonia","European Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",176,23,17,73.913043478
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",631,57,36,63.157894737
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",7410,47,33,70.212765957
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",5595,896,322,35.9375
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",3519,247,193,78.137651822
"RUS","Russian Federation","European Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",427,76,56,73.684210526
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",2420,309,269,87.055016181
"ZAF","South Africa","African Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",20691,2977,2322,77.997984548
"CHE","Switzerland","European Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",19539,126,4,3.174603175
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",2629,361,178,49.307479224
"TUN","Tunisia","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",1660,110,69,62.727272727
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Meropenem",2452,99,46,46.464646465
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Meropenem",5783,291,201,69.072164948
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",780,90,60,66.666666667
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",1020,229,221,96.506550218
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Meropenem",606,54,36,66.666666667
"GEO","Georgia","European Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",433,82,63,76.829268293
"IND","India","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",24223,1746,1180,67.583046964
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",2314,299,153,51.170568562
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",2277,355,283,79.718309859
"IRQ","Iraq","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",82,10,6,60
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",136246,1617,8,0.494743352
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",627,69,62,89.855072464
"XKX","Kosovo","European Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",151,45,42,93.333333333
"NPL","Nepal","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",2380,168,66,39.285714286
"MKD","North Macedonia","European Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",276,36,30,83.333333333
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",1007,135,78,57.777777778
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",8980,227,170,74.889867841
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",6468,1180,381,32.288135593
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Meropenem",3646,225,172,76.444444444
