Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.81892021,24.143692565,43.333333333,55.405405405,86.503067485
2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.903697514,17.333333333,42.318059299,57.439446367,90.566037736
2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",0,20.240625214,45.278450363,58.659288284,93.58974359
2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.222222222,21.264367816,42.87995142,63.310185185,97.222222222
2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.702702703,22.55109671,46.922782802,65.014577259,97.368421053
2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4.758182706,22.765298443,47.663043478,65.129694172,91.204819277


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",7385,1501,602,40.106595603
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",633,125,39,31.2
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",841,200,117,58.5
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",314,90,39,43.333333333
"GEO","Georgia","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",216,71,35,49.295774648
"IND","India","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",14459,1665,1023,61.441441441
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1381,274,103,37.591240876
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1826,384,185,48.177083333
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",126859,12558,354,2.81892021
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",345,20,10,50
"XKX","Kosovo","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",164,65,4,6.153846154
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",275,36,10,27.777777778
"LBN","Lebanon","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",330,52,11,21.153846154
"MLI","Mali","African Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",422,32,22,68.75
"MLT","Malta","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1116,142,78,54.929577465
"MOZ","Mozambique","African Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",51,19,3,15.789473684
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1202,74,41,55.405405405
"MKD","North Macedonia","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",176,36,31,86.111111111
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",631,143,70,48.951048951
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",7410,467,263,56.316916488
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5595,1197,289,24.143692565
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3519,701,159,22.681883024
"RUS","Russian Federation","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",427,163,141,86.503067485
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2420,832,443,53.245192308
"ZAF","South Africa","African Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",20691,5498,1858,33.794106948
"CHE","Switzerland","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",19539,2074,228,10.993249759
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2629,391,65,16.624040921
"TUN","Tunisia","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1660,378,165,43.650793651
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2452,567,234,41.26984127
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5783,1175,466,39.659574468
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",780,209,76,36.363636364
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1020,210,141,67.142857143
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",606,166,76,45.78313253
"GEO","Georgia","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",433,136,68,50
"IND","India","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",24223,4523,2938,64.956887022
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2314,614,357,58.143322476
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2277,384,230,59.895833333
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",136246,14361,417,2.903697514
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",627,60,29,48.333333333
"XKX","Kosovo","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",151,55,8,14.545454545
"LAO","Lao People's Democratic Republic","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",314,40,13,32.5
"LBN","Lebanon","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",218,46,21,45.652173913
"MLI","Mali","African Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",387,19,12,63.157894737
"MLT","Malta","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",624,137,63,45.98540146
"MOZ","Mozambique","African Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",103,18,2,11.111111111
"NPL","Nepal","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2380,347,136,39.193083573
"MKD","North Macedonia","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",276,53,48,90.566037736
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1007,371,157,42.318059299
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",8980,361,262,72.576177285
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",6468,1486,717,48.250336474
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3646,716,126,17.597765363
"RUS","Russian Federation","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1173,390,328,84.102564103
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2528,867,498,57.439446367
"ZAF","South Africa","African Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",20489,5767,2069,35.876538928
"CHE","Switzerland","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",10424,1235,114,9.230769231
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5463,850,341,40.117647059
"TUN","Tunisia","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",932,196,93,47.448979592
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2464,528,212,40.151515152
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",7376,1767,849,48.0475382
