Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ceftriaxone

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Escherichia coli","Ceftriaxone",10.191082803,33.837111671,53.93258427,72.25433526,97.872340426
2019,"BLOOD","Escherichia coli","Ceftriaxone",6.539265452,16.812210778,39.743589744,56.029919448,88.874172185
2020,"BLOOD","Escherichia coli","Ceftriaxone",6.386418755,16.610806864,39.745750808,64.051282051,86.813186813
2021,"BLOOD","Escherichia coli","Ceftriaxone",6.318849449,14.242532006,33.955705738,53.039161611,85.037211124
2022,"BLOOD","Escherichia coli","Ceftriaxone",5.889908257,16.021515391,39.784946237,60.969133754,86.666666667
2023,"BLOOD","Escherichia coli","Ceftriaxone",6.399437412,16.94425906,37.214513625,56.436359965,88.235294118


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",633,199,86,43.216080402
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",841,248,48,19.35483871
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Escherichia coli","Ceftriaxone",314,82,13,15.853658537
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",216,50,27,54
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",14459,55,48,87.272727273
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",1381,346,250,72.25433526
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",1826,173,114,65.895953757
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",126859,50510,10163,20.120768165
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",345,88,54,61.363636364
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",275,109,50,45.871559633
"MLI","Mali","African Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",422,78,25,32.051282051
"MKD","North Macedonia","European Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",176,52,41,78.846153846
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",631,178,96,53.93258427
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",7410,156,133,85.256410256
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",5595,1191,403,33.837111671
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",2420,480,262,54.583333333
"CHE","Switzerland","European Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",19539,11775,1200,10.191082803
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",2629,1029,371,36.054421769
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftriaxone",2452,209,100,47.846889952
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",780,197,106,53.807106599
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",1020,288,57,19.791666667
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Escherichia coli","Ceftriaxone",606,155,43,27.741935484
"GEO","Georgia","European Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",433,76,42,55.263157895
"IND","India","South-East Asia Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",24223,424,320,75.471698113
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",2314,576,404,70.138888889
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",2277,484,328,67.768595041
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",136246,53211,11147,20.948676026
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",627,146,97,66.438356164
"LAO","Lao People's Democratic Republic","Western Pacific Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",314,100,50,50
"MLI","Mali","African Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",387,78,31,39.743589744
"MKD","North Macedonia","European Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",276,62,38,61.290322581
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",1007,475,253,53.263157895
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",8980,755,671,88.874172185
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",6468,1350,539,39.925925926
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",2528,496,284,57.258064516
"CHE","Switzerland","European Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",10424,6030,619,10.265339967
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",5463,1187,418,35.214827296
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftriaxone",2464,293,135,46.075085324
"BHR","Bahrain","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Ceftriaxone",568,127,75,59.05511811
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Escherichia coli","Ceftriaxone",954,179,40,22.346368715
