Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Levofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Escherichia coli","Levofloxacin",14.012738854,26.666666667,37.878787879,50,83.333333333
2019,"BLOOD","Escherichia coli","Levofloxacin",9.693621296,18.698139435,38.582677165,50.288012455,92.105263158
2020,"BLOOD","Escherichia coli","Levofloxacin",10.283073368,18.873662255,34.87654321,47.044851195,76.923076923
2021,"BLOOD","Escherichia coli","Levofloxacin",9.014869888,18.181818182,33.502538071,51.282051282,90
2022,"BLOOD","Escherichia coli","Levofloxacin",8.371385084,22.48658828,38.600723764,51.858363858,81.25
2023,"BLOOD","Escherichia coli","Levofloxacin",8.333333333,23.319910078,38.565891473,54.67032967,73.406193078


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Levofloxacin",841,234,52,22.222222222
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Levofloxacin",216,46,23,50
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Escherichia coli","Levofloxacin",1381,137,20,14.598540146
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Escherichia coli","Levofloxacin",126859,71346,20448,28.660331343
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Levofloxacin",345,86,49,56.976744186
"XKX","Kosovo","European Region",2018,"BLOOD","Escherichia coli","Levofloxacin",164,12,6,50
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Escherichia coli","Levofloxacin",1202,35,18,51.428571429
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Levofloxacin",7410,157,22,14.012738854
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Escherichia coli","Levofloxacin",5595,484,180,37.190082645
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Levofloxacin",2420,401,180,44.887780549
"CHE","Switzerland","European Region",2018,"BLOOD","Escherichia coli","Levofloxacin",19539,4857,846,17.418159358
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Escherichia coli","Levofloxacin",2629,286,99,34.615384615
"TUN","Tunisia","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Levofloxacin",1660,60,16,26.666666667
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Levofloxacin",2452,41,20,48.780487805
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Levofloxacin",1020,261,73,27.969348659
"GEO","Georgia","European Region",2019,"BLOOD","Escherichia coli","Levofloxacin",433,18,8,44.444444444
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Escherichia coli","Levofloxacin",2314,151,98,64.900662252
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Escherichia coli","Levofloxacin",136246,77358,23168,29.94906797
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Levofloxacin",627,151,96,63.57615894
"XKX","Kosovo","European Region",2019,"BLOOD","Escherichia coli","Levofloxacin",151,17,6,35.294117647
"NPL","Nepal","South-East Asia Region",2019,"BLOOD","Escherichia coli","Levofloxacin",2380,140,26,18.571428571
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Levofloxacin",8980,38,35,92.105263158
