Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Meropenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Escherichia coli","Meropenem",0,0.05800464,1.397712834,3.902439024,31.147540984
2019,"BLOOD","Escherichia coli","Meropenem",0,0,0.509243624,1.90580008,28.571428571
2020,"BLOOD","Escherichia coli","Meropenem",0,0.01125182,0.245341924,3.118495391,31.111111111
2021,"BLOOD","Escherichia coli","Meropenem",0,0,0.276441077,2.200491112,28.571428571
2022,"BLOOD","Escherichia coli","Meropenem",0,0.041034058,0.605601817,4.347826087,78.877005348
2023,"BLOOD","Escherichia coli","Meropenem",0,0.02605811,0.402352213,3.172588832,29.981873112


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Meropenem",7385,2111,7,0.3315964
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Meropenem",633,199,4,2.010050251
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Meropenem",841,247,0,0
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Escherichia coli","Meropenem",314,102,1,0.980392157
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Meropenem",216,42,4,9.523809524
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Meropenem",14459,1527,371,24.296005239
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Escherichia coli","Meropenem",1381,242,19,7.851239669
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Meropenem",1826,205,8,3.902439024
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Escherichia coli","Meropenem",126859,72658,23,0.031655152
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Meropenem",345,90,0,0
