Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Staphylococcus aureus
Antibiotic filter: Methicillin resistance

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",0,11.16734143,22.642903019,44.006507019,70.37037037
2019,"BLOOD","Staphylococcus aureus","Methicillin resistance",1.27064803,10.476124957,21.346754599,41.017402945,100
2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",1.19047619,12.083637248,24.41314554,45.689655172,100
2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",0.936170213,8.638098846,22.916666667,43.32067757,92.307692308
2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",1.62842339,8.688094868,28.571428571,51.675712347,83.333333333
2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",0.395256917,9.125633906,28.448275862,49.063421013,100


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",7385,1877,850,45.285029302
"AUT","Austria","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",10829,3307,212,6.410644088
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",841,227,37,16.299559471
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",314,90,10,11.111111111
"HRV","Croatia","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",2296,458,121,26.419213974
"CYP","Cyprus","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",428,117,47,40.170940171
"CZE","Czechia","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",7835,2243,304,13.553276861
"EGY","Egypt","Eastern Mediterranean Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",967,27,19,70.37037037
"FIN","Finland","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",8600,2105,42,1.995249406
"GEO","Georgia","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",216,43,5,11.627906977
"DEU","Germany","European Region",2018,"BLOOD","Staphylococcus aureus","Methicillin resistance",39366,11611,878,7.56179485
