Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Streptococcus pneumoniae
Antibiotic filter: Penicillin G

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",0.122624157,7.361111111,15.448141132,28.932261768,49.333333333
2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",0,0.338852522,1.977848101,13.432229222,37.974683544
2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",0,0.835886763,2.791014295,17.444219067,54.838709677
2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",0,0.595238095,1.337792642,5.660377358,54.87804878
2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",0,0.935519286,1.990365112,8.820564516,54.237288136
2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",0,1.110202642,2.684969932,9.0625,53.846153846


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",126859,3262,4,0.122624157
"MLI","Mali","African Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",422,39,10,25.641025641
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",5595,123,18,14.634146341
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",3519,48,4,8.333333333
"ZAF","South Africa","African Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",20691,405,18,4.444444444
"CHE","Switzerland","European Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",19539,1395,24,1.720430108
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",2629,75,37,49.333333333
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",2452,67,26,38.805970149
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",136246,3239,6,0.185242359
"MLI","Mali","African Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",387,40,11,27.5
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",6468,130,18,13.846153846
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",3646,36,1,2.777777778
"ZAF","South Africa","African Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",20489,428,28,6.542056075
"CHE","Switzerland","European Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",10424,657,8,1.217656012
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",5463,158,60,37.974683544
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",2464,98,36,36.734693878
"JPN","Japan","Western Pacific Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",142185,1650,5,0.303030303
"MLI","Mali","African Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",297,31,17,54.838709677
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",4276,37,5,13.513513514
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",4095,28,3,10.714285714
"ZAF","South Africa","African Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",23840,265,16,6.037735849
"CHE","Switzerland","European Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",10256,433,11,2.540415704
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",6159,116,46,39.655172414
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",2925,52,12,23.076923077
"JPN","Japan","Western Pacific Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",148205,1419,3,0.21141649
"MLI","Mali","African Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",280,37,17,45.945945946
"PHL","Philippines","Western Pacific Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",4850,38,5,13.157894737
"KOR","Republic of Korea","Western Pacific Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",4488,20,1,5
"ZAF","South Africa","African Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",23334,265,15,5.660377358
"CHE","Switzerland","European Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",10322,419,5,1.193317422
"THA","Thailand","South-East Asia Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",6559,82,45,54.87804878
"ARE","United Arab Emirates","Eastern Mediterranean Region",2021,"BLOOD","Streptococcus pneumoniae","Penicillin G",3989,88,4,4.545454545
"JPN","Japan","Western Pacific Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",158356,1448,4,0.276243094
"MLI","Mali","African Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",286,59,32,54.237288136
"PHL","Philippines","Western Pacific Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",5937,62,6,9.677419355
"KOR","Republic of Korea","Western Pacific Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",4484,28,6,21.428571429
"ZAF","South Africa","African Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",24658,337,121,35.90504451
"CHE","Switzerland","European Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",11308,733,6,0.818553888
"THA","Thailand","South-East Asia Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",9544,128,8,6.25
"ARE","United Arab Emirates","Eastern Mediterranean Region",2022,"BLOOD","Streptococcus pneumoniae","Penicillin G",4194,163,7,4.294478528
"JPN","Japan","Western Pacific Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",169604,2033,5,0.245941958
"MLI","Mali","African Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",275,39,21,53.846153846
"PHL","Philippines","Western Pacific Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",7705,71,1,1.408450704
"KOR","Republic of Korea","Western Pacific Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",5416,27,3,11.111111111
"ZAF","South Africa","African Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",26026,363,123,33.884297521
"CHE","Switzerland","European Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",12511,906,32,3.53200883
"THA","Thailand","South-East Asia Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",14722,264,14,5.303030303
"ARE","United Arab Emirates","Eastern Mediterranean Region",2023,"BLOOD","Streptococcus pneumoniae","Penicillin G",3959,205,8,3.902439024
