Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.
Antibiotic filter: Gentamicin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Acinetobacter spp.","Gentamicin",5.042016807,32.725260163,59.096941355,74.85719086,98.484848485
2019,"BLOOD","Acinetobacter spp.","Gentamicin",1.754385965,30.64430778,56.21228257,73.465323336,96.506550218
2020,"BLOOD","Acinetobacter spp.","Gentamicin",0,37.296747967,60.368663594,74.831081081,98.275862069
2021,"BLOOD","Acinetobacter spp.","Gentamicin",0,39.473684211,53.836633663,79.591836735,99.707602339
2022,"BLOOD","Acinetobacter spp.","Gentamicin",0,37.34204793,52.336448598,74.24305749,98.611111111
2023,"BLOOD","Acinetobacter spp.","Gentamicin",0,28.607954545,57.068062827,69.105611121,96.875


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Gentamicin",7385,368,221,60.054347826
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",841,132,130,98.484848485
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Gentamicin",314,27,4,14.814814815
"ETH","Ethiopia","African Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",122,16,12,75
"GEO","Georgia","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",216,29,22,75.862068966
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",1381,215,125,58.139534884
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",1826,352,213,60.511363636
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",345,16,11,68.75
"XKX","Kosovo","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",164,60,51,85
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",275,24,4,16.666666667
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",1202,97,22,22.680412371
"MKD","North Macedonia","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",176,23,21,91.304347826
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",631,57,37,64.912280702
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",7410,151,27,17.880794702
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",5595,939,297,31.629392971
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",3519,247,143,57.894736842
"RUS","Russian Federation","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",427,76,68,89.473684211
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",2420,304,237,77.960526316
"ZAF","South Africa","African Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",20691,2976,2215,74.428763441
"CHE","Switzerland","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",19539,119,6,5.042016807
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",2629,311,112,36.012861736
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",2452,103,46,44.660194175
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Gentamicin",5783,279,177,63.440860215
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",1020,229,221,96.506550218
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Gentamicin",606,54,30,55.555555556
"ETH","Ethiopia","African Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",139,16,13,81.25
"GEO","Georgia","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",433,82,31,37.804878049
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",2314,315,184,58.412698413
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",2277,194,143,73.711340206
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",627,47,38,80.85106383
"XKX","Kosovo","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",151,45,39,86.666666667
"LAO","Lao People's Democratic Republic","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",314,25,2,8
"NPL","Nepal","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",2380,346,164,47.398843931
"MKD","North Macedonia","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",276,37,26,70.27027027
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",1007,133,77,57.894736842
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",8980,315,210,66.666666667
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",6468,1104,331,29.981884058
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",3646,225,144,64
"RUS","Russian Federation","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",1173,94,84,89.361702128
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",2528,297,205,69.023569024
"ZAF","South Africa","African Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",20489,2355,1785,75.796178344
"CHE","Switzerland","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",10424,57,5,8.771929825
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",5463,522,213,40.804597701
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",2464,97,35,36.082474227
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Gentamicin",7376,615,464,75.447154472
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",954,348,330,94.827586207
"BRA","Brazil","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Gentamicin",584,65,42,64.615384615
"ETH","Ethiopia","African Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",431,35,21,60
"GEO","Georgia","European Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",741,166,93,56.024096386
"IDN","Indonesia","South-East Asia Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",1676,306,187,61.111111111
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",1854,296,221,74.662162162
