Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Escherichia coli","Ciprofloxacin",17.710619618,33.937545074,43.907216495,60.587349398,78.571428571
2019,"BLOOD","Escherichia coli","Ciprofloxacin",12.147019274,25.78125,38.461538462,49.011857708,81.63538874
2020,"BLOOD","Escherichia coli","Ciprofloxacin",10.848852317,22.615465225,38.028945731,52.860131048,75
2021,"BLOOD","Escherichia coli","Ciprofloxacin",9.52972861,21.880081301,35.24673551,49.63245208,75
2022,"BLOOD","Escherichia coli","Ciprofloxacin",10.449701066,26.363636364,36.138613861,50.944625407,83.333333333
2023,"BLOOD","Escherichia coli","Ciprofloxacin",10.191458027,27.705521472,35.255032245,53.342663981,78.51269217


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Ciprofloxacin",7385,2107,702,33.317513052
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",633,199,60,30.150753769
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",841,243,60,24.691358025
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Escherichia coli","Ciprofloxacin",314,100,42,42
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",216,49,24,48.979591837
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",14459,1841,1325,71.971754481
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",1381,332,207,62.34939759
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",1826,343,175,51.020408163
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",126859,37823,11161,29.508500119
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",345,45,27,60
