Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Cefepime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Escherichia coli","Cefepime",7.272727273,19.472432349,42.211055276,51.968085106,81.818181818
2019,"BLOOD","Escherichia coli","Cefepime",4.135954136,14.787517994,28.420148827,53.002422089,89.534883721
2020,"BLOOD","Escherichia coli","Cefepime",3.575097596,15.121975316,28.75,55.397264214,88.524590164
2021,"BLOOD","Escherichia coli","Cefepime",3.561978425,14.174252276,21.783181358,48.387096774,80
2022,"BLOOD","Escherichia coli","Cefepime",3.079262498,14.955203308,22.289613343,48.051948052,85.714285714
2023,"BLOOD","Escherichia coli","Cefepime",3.278384886,15.338630965,21.797663794,52.602594436,79.483695652


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Cefepime",7385,1991,332,16.67503767
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Cefepime",633,199,84,42.211055276
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Cefepime",14459,387,250,64.599483204
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Escherichia coli","Cefepime",1381,283,134,47.349823322
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Cefepime",1826,327,152,46.483180428
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Escherichia coli","Cefepime",126859,66734,7899,11.836545089
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Cefepime",345,90,52,57.777777778
"MLI","Mali","African Region",2018,"BLOOD","Escherichia coli","Cefepime",422,79,26,32.911392405
"MLT","Malta","European Region",2018,"BLOOD","Escherichia coli","Cefepime",1116,352,27,7.670454545
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Escherichia coli","Cefepime",1202,31,21,67.741935484
