Filters
Region filter: All
Infection type filter: SDG
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Third-generation cephalosporins

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",6.754318123,15.272362724,32.051282051,56.458333333,97.872340426
2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.523809524,16.045038705,29.712445256,57.088285229,88.874172185
2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.330174711,14.850701743,31.081081081,61.366943867,89.583333333
2021,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.128948131,13.043478261,27.701674277,52.972972973,86.206896552
2022,"BLOOD","Escherichia coli","Third-generation cephalosporins",6.666666667,15.596330275,33.769813921,60,87.5
2023,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.681818182,17.189835575,34.379084967,59.340659341,89.411764706


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",7385,1471,296,20.122365738
"AUT","Austria","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",10829,5672,579,10.208039492
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",633,199,86,43.216080402
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",841,248,48,19.35483871
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",314,82,13,15.853658537
"HRV","Croatia","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",2296,1168,173,14.811643836
"CYP","Cyprus","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",428,151,56,37.086092715
"CZE","Czechia","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",7835,3641,554,15.21560011
"FIN","Finland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",8600,5020,381,7.589641434
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",216,50,27,54
"DEU","Germany","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",39366,21517,2621,12.181066134
"GRC","Greece","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",5044,1640,317,19.329268293
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",14459,55,48,87.272727273
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",1381,71,62,87.323943662
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",1826,195,129,66.153846154
"IRL","Ireland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",5425,3237,417,12.882298424
"ITA","Italy","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",32664,16253,4664,28.696240694
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",126859,50510,10163,20.120768165
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",345,16,12,75
"XKX","Kosovo","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",164,12,7,58.333333333
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",275,109,50,45.871559633
"LVA","Latvia","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",987,348,71,20.402298851
"LTU","Lithuania","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",2352,1109,170,15.329125338
"LUX","Luxembourg","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",746,424,53,12.5
"MLI","Mali","African Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",422,78,25,32.051282051
"MLT","Malta","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",1116,352,60,17.045454545
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",1202,30,22,73.333333333
"NLD","Netherlands (Kingdom of the)","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",12993,7011,511,7.28854657
"MKD","North Macedonia","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",176,23,19,82.608695652
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",631,178,96,53.93258427
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",7410,156,133,85.256410256
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",5595,602,245,40.697674419
"POL","Poland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",6477,2620,461,17.595419847
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",3519,1724,666,38.631090487
"RUS","Russian Federation","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",427,81,54,66.666666667
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",2420,480,262,54.583333333
"ZAF","South Africa","African Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",20691,3583,1091,30.449344125
"LKA","Sri Lanka","South-East Asia Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",1460,699,473,67.668097282
"SWE","Sweden","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",10849,5390,449,8.330241187
"CHE","Switzerland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",19539,11775,1200,10.191082803
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",2629,994,366,36.820925553
"TUN","Tunisia","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",1660,250,85,34
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",2452,584,280,47.945205479
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",50898,28676,3145,10.967359464
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",5783,1212,230,18.97689769
"AUT","Austria","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",10215,5748,521,9.064022269
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",780,197,106,53.807106599
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",1020,290,59,20.344827586
"BRA","Brazil","Region of the Americas",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",606,155,43,27.741935484
"HRV","Croatia","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",2093,1078,168,15.584415584
"CYP","Cyprus","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",250,92,18,19.565217391
"CZE","Czechia","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",7711,3554,546,15.3629713
"FIN","Finland","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",9354,244,19,7.786885246
"GEO","Georgia","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",433,76,43,56.578947368
"DEU","Germany","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",41630,16172,1853,11.458075686
"GRC","Greece","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",5814,1077,234,21.727019499
"IND","India","South-East Asia Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",24223,3883,3138,80.81380376
"IDN","Indonesia","South-East Asia Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",2314,576,404,70.138888889
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",2277,401,282,70.324189526
"IRL","Ireland","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",5053,1237,155,12.530315279
"ITA","Italy","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",37247,1193,401,33.612740989
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",136246,53211,11147,20.948676026
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",627,27,18,66.666666667
"XKX","Kosovo","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",151,17,7,41.176470588
"LAO","Lao People's Democratic Republic","Western Pacific Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",314,100,50,50
"LVA","Latvia","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",1712,624,115,18.429487179
"LTU","Lithuania","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",2452,308,54,17.532467532
"LUX","Luxembourg","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",852,147,23,15.646258503
