Filters
Region filter: All
Infection type filter: Gastrointestinal
Bacterial pathogen filter: Salmonella spp.
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"STOOL","Salmonella spp.","Ciprofloxacin",0,3.067484663,10.492845787,22.695035461,53.125
2019,"STOOL","Salmonella spp.","Ciprofloxacin",0,3.321026466,9.693877551,18.636363636,32.8125
2020,"STOOL","Salmonella spp.","Ciprofloxacin",0,2.913752914,8.570811744,19.190705128,41.666666667
2021,"STOOL","Salmonella spp.","Ciprofloxacin",0.803858521,3.145309626,8.556149733,12.583766125,90.909090909
2022,"STOOL","Salmonella spp.","Ciprofloxacin",0,4.464232444,11.912225705,21.760797342,81.656804734
2023,"STOOL","Salmonella spp.","Ciprofloxacin",0,4.760668797,11.764705882,21.328029376,53.333333333


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"STOOL","Salmonella spp.","Ciprofloxacin",3376,436,17,3.899082569
"BHR","Bahrain","Eastern Mediterranean Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",205,178,6,3.370786517
"IND","India","South-East Asia Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",168,140,32,22.857142857
"JPN","Japan","Western Pacific Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",317,161,1,0.621118012
"LBN","Lebanon","Eastern Mediterranean Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",115,96,51,53.125
"MLT","Malta","European Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",106,102,14,13.725490196
"PAK","Pakistan","Eastern Mediterranean Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",120,46,20,43.47826087
"PHL","Philippines","Western Pacific Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",67,43,0,0
"POL","Poland","European Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",539,136,26,19.117647059
"KOR","Republic of Korea","Western Pacific Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",165,163,5,3.067484663
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",166,141,32,22.695035461
"THA","Thailand","South-East Asia Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",393,294,4,1.360544218
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"STOOL","Salmonella spp.","Ciprofloxacin",818,305,37,12.131147541
"ARG","Argentina","Region of the Americas",2019,"STOOL","Salmonella spp.","Ciprofloxacin",2892,422,6,1.421800948
"BHR","Bahrain","Eastern Mediterranean Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",316,196,19,9.693877551
"IND","India","South-East Asia Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",224,212,56,26.41509434
"JPN","Japan","Western Pacific Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",306,215,1,0.465116279
"LBN","Lebanon","Eastern Mediterranean Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",72,64,21,32.8125
"MLT","Malta","European Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",115,108,10,9.259259259
"PAK","Pakistan","Eastern Mediterranean Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",209,39,10,25.641025641
"PHL","Philippines","Western Pacific Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",77,44,0,0
"POL","Poland","European Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",232,106,27,25.471698113
"KOR","Republic of Korea","Western Pacific Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",140,140,5,3.571428571
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",235,171,25,14.619883041
"THA","Thailand","South-East Asia Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",857,406,7,1.724137931
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"STOOL","Salmonella spp.","Ciprofloxacin",1005,416,48,11.538461538
