Filters
Region filter: All
Infection type filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"URINE","Escherichia coli","Ciprofloxacin",8.413903316,25.025125628,41.39631456,62.5,92.886792453
2019,"URINE","Escherichia coli","Ciprofloxacin",8.434777105,23.706352841,44.5196128,59.171510997,77.777777778
2020,"URINE","Escherichia coli","Ciprofloxacin",8.055555556,27.455876022,40.909090909,58.793969849,75.324675325
2021,"URINE","Escherichia coli","Ciprofloxacin",7.422324014,25.108729665,42.912173964,59.550108153,76.19047619
2022,"URINE","Escherichia coli","Ciprofloxacin",7.217133806,29.037950219,45.675982081,54.414254372,78.651685393
2023,"URINE","Escherichia coli","Ciprofloxacin",7.429018217,31.750799242,46.143135005,58.60376835,80.710659898


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Ciprofloxacin",44553,37341,8334,22.318630995
"BHR","Bahrain","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",3706,652,135,20.705521472
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Ciprofloxacin",412,272,170,62.5
"BRA","Brazil","Region of the Americas",2018,"URINE","Escherichia coli","Ciprofloxacin",2818,2420,571,23.595041322
"FIN","Finland","European Region",2018,"URINE","Escherichia coli","Ciprofloxacin",159588,87605,7371,8.413903316
"IND","India","South-East Asia Region",2018,"URINE","Escherichia coli","Ciprofloxacin",25203,10356,7985,77.105059869
"IDN","Indonesia","South-East Asia Region",2018,"URINE","Escherichia coli","Ciprofloxacin",2820,1751,1194,68.189605939
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",3640,2358,1362,57.760814249
"IRQ","Iraq","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",177,139,107,76.978417266
"JPN","Japan","Western Pacific Region",2018,"URINE","Escherichia coli","Ciprofloxacin",423516,178044,65155,36.594886657
"JOR","Jordan","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",2676,1692,768,45.390070922
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"URINE","Escherichia coli","Ciprofloxacin",120,110,72,65.454545455
"LBN","Lebanon","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",3964,3405,1340,39.353891336
"MLI","Mali","African Region",2018,"URINE","Escherichia coli","Ciprofloxacin",85,72,43,59.722222222
"NPL","Nepal","South-East Asia Region",2018,"URINE","Escherichia coli","Ciprofloxacin",4866,2447,1159,47.36411933
"NOR","Norway","European Region",2018,"URINE","Escherichia coli","Ciprofloxacin",2117,1423,141,9.90864371
"OMN","Oman","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",3636,2909,857,29.460295634
"PAK","Pakistan","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",14284,10600,9846,92.886792453
"PHL","Philippines","Western Pacific Region",2018,"URINE","Escherichia coli","Ciprofloxacin",8074,4794,2182,45.515227368
"KOR","Republic of Korea","Western Pacific Region",2018,"URINE","Escherichia coli","Ciprofloxacin",8554,7255,2954,40.716747071
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",5627,3853,1595,41.39631456
"SWE","Sweden","European Region",2018,"URINE","Escherichia coli","Ciprofloxacin",115520,103196,12692,12.298926315
"THA","Thailand","South-East Asia Region",2018,"URINE","Escherichia coli","Ciprofloxacin",4301,1159,664,57.290767903
"TUN","Tunisia","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",12711,7830,1938,24.750957854
"UGA","Uganda","African Region",2018,"URINE","Escherichia coli","Ciprofloxacin",70,61,29,47.540983607
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",22331,15063,5788,38.425280489
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Escherichia coli","Ciprofloxacin",863293,816875,89172,10.916235654
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Ciprofloxacin",35830,30897,7132,23.083147231
"BHR","Bahrain","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",4535,1250,273,21.84
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Ciprofloxacin",488,376,236,62.765957447
"BRA","Brazil","Region of the Americas",2019,"URINE","Escherichia coli","Ciprofloxacin",4289,3429,877,25.57596967
"FIN","Finland","European Region",2019,"URINE","Escherichia coli","Ciprofloxacin",159676,94798,7996,8.434777105
"IND","India","South-East Asia Region",2019,"URINE","Escherichia coli","Ciprofloxacin",47746,31103,23078,74.198630357
"IDN","Indonesia","South-East Asia Region",2019,"URINE","Escherichia coli","Ciprofloxacin",3383,2008,1473,73.356573705
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",7065,4547,2616,57.532438971
"IRQ","Iraq","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",859,638,381,59.717868339
"JPN","Japan","Western Pacific Region",2019,"URINE","Escherichia coli","Ciprofloxacin",453889,200811,74267,36.983531779
"JOR","Jordan","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",5265,3586,1579,44.03234802
"LAO","Lao People's Democratic Republic","Western Pacific Region",2019,"URINE","Escherichia coli","Ciprofloxacin",175,147,89,60.544217687
"LBN","Lebanon","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",1363,1097,453,41.29443938
"MLI","Mali","African Region",2019,"URINE","Escherichia coli","Ciprofloxacin",105,71,36,50.704225352
"NPL","Nepal","South-East Asia Region",2019,"URINE","Escherichia coli","Ciprofloxacin",9953,6573,2985,45.4130534
"NOR","Norway","European Region",2019,"URINE","Escherichia coli","Ciprofloxacin",2187,1501,139,9.260493005
"OMN","Oman","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",8941,7129,2064,28.952167204
"PAK","Pakistan","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",15455,11384,7990,70.186226283
"PHL","Philippines","Western Pacific Region",2019,"URINE","Escherichia coli","Ciprofloxacin",9132,5721,2874,50.235972732
"KOR","Republic of Korea","Western Pacific Region",2019,"URINE","Escherichia coli","Ciprofloxacin",8565,7270,3272,45.006877579
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",5587,3564,1427,40.039281706
"SWE","Sweden","European Region",2019,"URINE","Escherichia coli","Ciprofloxacin",229294,204382,22272,10.89724144
"THA","Thailand","South-East Asia Region",2019,"URINE","Escherichia coli","Ciprofloxacin",9011,3622,2283,63.031474324
"TUN","Tunisia","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",5444,3244,709,21.855733662
"UGA","Uganda","African Region",2019,"URINE","Escherichia coli","Ciprofloxacin",214,177,94,53.107344633
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",27055,17801,7521,42.250435369
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2019,"URINE","Escherichia coli","Ciprofloxacin",880701,822931,87265,10.60416973
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Ciprofloxacin",29170,24708,5883,23.810101991
"BHR","Bahrain","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ciprofloxacin",3517,2495,632,25.330661323
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Ciprofloxacin",261,199,117,58.793969849
"BRA","Brazil","Region of the Americas",2020,"URINE","Escherichia coli","Ciprofloxacin",2805,2083,509,24.435909746
"FIN","Finland","European Region",2020,"URINE","Escherichia coli","Ciprofloxacin",146108,93235,7594,8.145009921
"IND","India","South-East Asia Region",2020,"URINE","Escherichia coli","Ciprofloxacin",18235,10527,7414,70.428422153
"IDN","Indonesia","South-East Asia Region",2020,"URINE","Escherichia coli","Ciprofloxacin",1595,840,606,72.142857143
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ciprofloxacin",4235,2417,1595,65.990897807
"IRQ","Iraq","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ciprofloxacin",1502,956,570,59.623430962
"JPN","Japan","Western Pacific Region",2020,"URINE","Escherichia coli","Ciprofloxacin",475584,220505,82150,37.255391034
"JOR","Jordan","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ciprofloxacin",5385,2558,883,34.51915559
"LAO","Lao People's Democratic Republic","Western Pacific Region",2020,"URINE","Escherichia coli","Ciprofloxacin",253,170,78,45.882352941
